"","V1","V2"
"","344.371","92329"
"","344.874","92334"
"","345.372","92327"
"","345.875","92325"
"","346.373","92332"
"","346.877","92326"
"","347.375","92324"
"","347.877","92327"
"","348.375","92329"
"","348.878","92325"
"","349.377","92321"
"","349.879","92325"
"","350.378","92325"
"","350.88","92320"
"","351.379","92326"
"","351.881","92327"
"","352.383","92329"
"","352.883","92330"
"","353.382","92324"
"","353.883","92329"
"","354.382","92337"
"","354.885","92326"
"","355.384","92332"
"","355.886","92327"
"","356.385","92327"
"","356.887","92326"
"","357.386","92326"
"","357.888","92325"
"","358.387","92321"
"","358.89","92324"
"","359.389","92320"
"","359.89","92328"
"","360.389","92324"
"","360.892","92323"
"","361.391","92325"
"","361.893","92331"
"","362.392","92326"
"","362.894","92328"
"","363.393","92331"
"","363.895","92331"
"","364.394","92326"
"","364.897","92328"
"","365.396","92321"
"","365.899","92322"
"","366.396","92327"
"","366.898","92325"
"","367.397","92329"
"","367.9","92326"
"","368.399","92329"
"","368.9","92327"
"","369.399","92334"
"","369.902","92324"
"","370.401","92331"
"","370.903","92325"
"","371.402","92332"
"","371.904","92333"
"","372.403","92329"
"","372.905","92329"
"","373.404","92329"
"","373.907","92329"
"","374.406","92330"
"","374.907","92326"
"","375.406","92339"
"","375.909","92331"
"","376.407","92330"
"","376.91","92329"
"","377.408","92334"
"","377.911","92328"
"","378.409","92331"
"","378.912","92335"
"","379.41","92334"
"","379.914","92336"
"","380.412","92334"
"","380.914","92337"
"","381.412","92332"
"","381.916","92333"
"","382.414","92328"
"","382.917","92329"
"","383.415","92324"
"","383.918","92327"
"","384.416","92326"
"","384.918","92320"
"","385.417","92326"
"","385.92","92327"
"","386.419","92326"
"","386.92","92327"
"","387.419","92328"
"","387.922","92329"
"","388.421","92326"
"","388.923","92321"
"","389.422","92319"
"","389.924","92319"
"","390.423","92326"
"","390.925","92330"
"","391.424","92322"
"","391.927","92328"
"","392.426","92330"
"","392.927","92327"
"","393.426","92330"
"","393.928","92329"
"","394.427","92331"
"","394.93","92326"
"","395.429","92330"
"","395.93","92331"
"","396.429","92326"
"","396.932","92334"
"","397.431","92331"
"","397.933","92325"
"","398.432","92324"
"","398.934","92325"
"","399.433","92330"
"","399.935","92332"
"","400.434","92329"
"","400.937","92333"
"","401.436","92331"
"","401.937","92337"
"","402.436","92331"
"","402.939","92336"
"","403.438","92335"
"","403.94","92333"
"","404.439","92334"
"","404.941","92337"
"","405.44","92328"
"","405.942","92331"
"","406.441","92328"
"","406.944","92317"
"","407.443","92322"
"","407.944","92323"
"","408.443","92327"
"","408.946","92325"
"","409.445","92325"
"","409.947","92328"
"","410.446","92327"
"","410.948","92323"
